r1bqk2r/pp2ppbp/2n3p1/2pn4/P7/2N2NP1/1P1PPPBP/R1BQK2R w KQkq - 0 8	c3d5	-13	22
r1bqk2r/pp2ppbp/2n2np1/2pP4/P7/2N2NP1/1P1PPPBP/R1BQK2R b KQkq - 0 7	f6d5	18	22
r1bqkb1r/1p3ppp/p1np4/4p3/2N1P1n1/2N1B3/PPP2PPP/R2QKB1R b KQkq - 3 9	g4e3	-56	22
r1bqkb1r/1p3ppp/p1np4/4p3/2N1P3/2N1n3/PPP2PPP/R2QKB1R w KQkq - 0 10	c4e3	39	22
r1bqkb1r/1p3ppp/p1np4/4p3/4P3/2N1N3/PPP2PPP/R2QKB1R b KQkq - 0 10	g7g6	-47	22
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N1PNP1/PP1P1PBP/R1BQK2R b KQkq - 0 6	d7d5	30	22
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq - 1 5	c6c5	-10	22
r1bq1rk1/pp2ppbp/2n3p1/2pn4/3P4/2N1PNP1/PP3PBP/R1BQK2R w KQ - 0 9	e1g1	-25	22
r1bqk2r/1p2bppp/p1np4/4p3/4P3/2N1N3/PPP2PPP/R2QKB1R w KQkq - 1 11	d1d2	47	22
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2NB4/PPP3PP/R1BQK1NR w KQkq - 2 7	g1f3	-9	22
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/P1N2N2/1P2BPPP/R1BQK2R b KQ - 0 7	e5d4	-8	22
r1b1k2r/pp3ppp/2nqpn2/2pp4/3P4/2P1P2P/PP1N1PP1/R2QKBNR w KQkq - 0 8	g1f3	-3	22
rnbq1rk1/1pp2pbp/3p1np1/p2Pp3/2P1P3/2N2N1P/PP2BPP1/R1BQK2R b KQ - 0 8	f6h5	-56	22
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/5N2/PPP1BPPP/RNBQK2R b KQkq - 1 6	f8d6	0	22
r1bq1rk1/pppnbpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 2 8	d1c2	13	22
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQR1K1 b kq - 0 8	c6a5	12	22
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/P4NP1/1P1PPPBP/RNBQK2R b KQkq - 0 5	e8g8	19	22
